TASK #456 BUILD_RUNTIME STALENESS SWEEP MANIFEST
Date: 2026-06-10
Compiler snapshot: /tmp/runac_sweep (copy of v0.0.8.4.5.3.5/stage1/runac, 1039784 bytes, taken 09:11)
Invocation: /tmp/runac_sweep <src> <out.s> from v0.0.8.5 root; as <out.s> -o <out.o>; cmp vs installed.
Exception: runtime_overrides.o compiled from inside build_runtime/ (bare filename) to preserve its
  original path-derived module_init symbol name (runtime_overrides__module_init); no object references
  either name, but the original invocation style was reproduced. Body drift was genuine and refreshed.

Totals: 383 objects = 204 IDENTICAL / 154 REFRESHED / 25 SKIP (owner-mandated families:
  mir_*, lowering_*, lir_lir_builder, hir_* [incl. hir_to_julia], net family: p4snap_net_*,
  ipv4_address, ipv6_address, url). 0 unmappable, 0 compile failures, 0 assemble failures.
REFRESHED objects: stale copy preserved as <name>.o.stale456. 44 sibling .s files also refreshed
  (stale copy as <name>.s.stale456). Drift cause: objects predated the promoted stage1's local
  Display helper routines (print_string_nonl/print_integer_nonl etc.); global symbol sets verified
  unchanged for all 154 (single exception documented above).
Mapping method: defined-symbol prefix <dir>_<file>__ from nm, resolved against the source tree;
  ambiguous cases (8 mc_* arch files, 2 sys_security_*) resolved to compiler/backend paths and
  confirmed by byte-identity or matching global symbol sets; unicode_tables.o confirmed via
  UNICODE_COMPOSITION_TABLE definition in compiler/internal/unicode_tables.runa.

FORMAT: object | source | status
build_runtime/hir_to_julia.o|compiler/middle/gungnir/hir/translation/backends/julia/hir_to_julia.runa|SKIP
build_runtime/lir_instruction_select.o|compiler/middle/gungnir/lir/instruction_select.runa|REFRESHED
build_runtime/lir_interference.o|compiler/middle/gungnir/lir/interference.runa|REFRESHED
build_runtime/lir_lir.o|compiler/middle/gungnir/lir/lir.runa|IDENTICAL
build_runtime/lir_lir_builder.o|compiler/middle/gungnir/lir/lir_builder.runa|SKIP
build_runtime/lir_lir_nodes.o|compiler/middle/gungnir/lir/lir_nodes.runa|REFRESHED
build_runtime/lir_liveness.o|compiler/middle/gungnir/lir/liveness.runa|REFRESHED
build_runtime/lir_peephole.o|compiler/middle/gungnir/lir/peephole.runa|REFRESHED
build_runtime/lir_register_alloc.o|compiler/middle/gungnir/lir/register_alloc.runa|REFRESHED
build_runtime/lowering_control_flow_lowering.o|compiler/middle/gungnir/mir/lowering/control_flow_lowering.runa|SKIP
build_runtime/lowering_definition_lowering.o|compiler/middle/gungnir/mir/lowering/definition_lowering.runa|SKIP
build_runtime/lowering_expression_lowering.o|compiler/middle/gungnir/mir/lowering/expression_lowering.runa|SKIP
build_runtime/lowering_lowering_context.o|compiler/middle/gungnir/mir/lowering/lowering_context.runa|SKIP
build_runtime/lowering_pattern_lowering.o|compiler/middle/gungnir/mir/lowering/pattern_lowering.runa|SKIP
build_runtime/lowering_statement_lowering.o|compiler/middle/gungnir/mir/lowering/statement_lowering.runa|SKIP
build_runtime/lowering_type_lowering.o|compiler/middle/gungnir/mir/lowering/type_lowering.runa|SKIP
build_runtime/lto_cross_module_optimization.o|compiler/middle/lto/cross_module_optimization.runa|REFRESHED
build_runtime/lto_whole_program_analysis.o|compiler/middle/lto/whole_program_analysis.runa|REFRESHED
build_runtime/machine_code_interface.o|compiler/backend/machine_code/common/machine_code_interface.runa|REFRESHED
build_runtime/mc_aarch64_asm_generator.o|compiler/backend/machine_code/aarch64/asm_generator.runa|REFRESHED
build_runtime/mc_aarch64_calling_convention.o|compiler/backend/machine_code/aarch64/calling_convention.runa|IDENTICAL
build_runtime/mc_aarch64_instruction_encoder.o|compiler/backend/machine_code/aarch64/instruction_encoder.runa|IDENTICAL
build_runtime/mc_aarch64_neon_vectorizer.o|compiler/backend/machine_code/aarch64/neon_vectorizer.runa|IDENTICAL
build_runtime/mc_aarch64_register_allocator.o|compiler/backend/machine_code/aarch64/register_allocator.runa|IDENTICAL
build_runtime/mc_arm32_asm_generator.o|compiler/backend/machine_code/arm32/asm_generator.runa|REFRESHED
build_runtime/mc_arm32_instruction_encoder.o|compiler/backend/machine_code/arm32/instruction_encoder.runa|IDENTICAL
build_runtime/mc_arm32_register_allocator.o|compiler/backend/machine_code/arm32/register_allocator.runa|IDENTICAL
build_runtime/mc_common_executable_format.o|compiler/backend/machine_code/common/executable_format.runa|REFRESHED
build_runtime/mc_common_linker.o|compiler/backend/machine_code/common/linker.runa|IDENTICAL
build_runtime/mc_common_loader.o|compiler/backend/machine_code/common/loader.runa|REFRESHED
build_runtime/mc_mips_asm_generator.o|compiler/backend/machine_code/mips/asm_generator.runa|REFRESHED
build_runtime/mc_mips_instruction_encoder.o|compiler/backend/machine_code/mips/instruction_encoder.runa|REFRESHED
build_runtime/mc_mips_register_allocator.o|compiler/backend/machine_code/mips/register_allocator.runa|IDENTICAL
build_runtime/mc_powerpc_asm_generator.o|compiler/backend/machine_code/powerpc/asm_generator.runa|REFRESHED
build_runtime/mc_powerpc_instruction_encoder.o|compiler/backend/machine_code/powerpc/instruction_encoder.runa|REFRESHED
build_runtime/mc_powerpc_register_allocator.o|compiler/backend/machine_code/powerpc/register_allocator.runa|IDENTICAL
build_runtime/mc_riscv_asm_generator.o|compiler/backend/machine_code/riscv/asm_generator.runa|REFRESHED
build_runtime/mc_riscv_instruction_encoder.o|compiler/backend/machine_code/riscv/instruction_encoder.runa|REFRESHED
build_runtime/mc_riscv_register_allocator.o|compiler/backend/machine_code/riscv/register_allocator.runa|IDENTICAL
build_runtime/mc_wasm_asm_generator.o|compiler/backend/machine_code/wasm/asm_generator.runa|REFRESHED
build_runtime/mc_wasm_instruction_encoder.o|compiler/backend/machine_code/wasm/instruction_encoder.runa|REFRESHED
build_runtime/mc_wasm_register_allocator.o|compiler/backend/machine_code/wasm/register_allocator.runa|REFRESHED
build_runtime/mc_wasm_wasm_encoder.o|compiler/backend/machine_code/wasm/wasm_encoder.runa|REFRESHED
build_runtime/mc_wasm_wasm_optimizer.o|compiler/backend/machine_code/wasm/wasm_optimizer.runa|REFRESHED
build_runtime/mc_x86_64_asm_generator.o|compiler/backend/machine_code/x86_64/asm_generator.runa|REFRESHED
build_runtime/mc_x86_64_calling_convention.o|compiler/backend/machine_code/x86_64/calling_convention.runa|IDENTICAL
build_runtime/mc_x86_64_instruction_encoder.o|compiler/backend/machine_code/x86_64/instruction_encoder.runa|REFRESHED
build_runtime/mc_x86_64_optimization_passes.o|compiler/backend/machine_code/x86_64/optimization_passes.runa|IDENTICAL
build_runtime/mc_x86_64_register_allocator.o|compiler/backend/machine_code/x86_64/register_allocator.runa|IDENTICAL
build_runtime/mc_x86_asm_generator.o|compiler/backend/machine_code/x86/asm_generator.runa|REFRESHED
build_runtime/mc_x86_instruction_encoder.o|compiler/backend/machine_code/x86/instruction_encoder.runa|REFRESHED
build_runtime/mc_x86_register_allocator.o|compiler/backend/machine_code/x86/register_allocator.runa|IDENTICAL
build_runtime/memory_arc_heap.o|runtime/core/memory/arc_heap.runa|IDENTICAL
build_runtime/memory_arena.o|runtime/core/memory/arena.runa|IDENTICAL
build_runtime/mir_cfg.o|compiler/middle/gungnir/mir/cfg.runa|SKIP
build_runtime/mir_dominance.o|compiler/middle/gungnir/mir/dominance.runa|SKIP
build_runtime/mir_mir.o|compiler/middle/gungnir/mir/mir.runa|SKIP
build_runtime/mir_mir_builder.o|compiler/middle/gungnir/mir/mir_builder.runa|SKIP
build_runtime/mir_mir_nodes.o|compiler/middle/gungnir/mir/mir_nodes.runa|SKIP
build_runtime/parsing_ast.o|compiler/frontend/parsing/ast.runa|REFRESHED
build_runtime/primitives/access.o|compiler/frontend/primitives/types/access.runa|REFRESHED
build_runtime/primitives/actor.o|compiler/frontend/primitives/concurrency/actor.runa|REFRESHED
build_runtime/primitives/alignment_core.o|compiler/frontend/primitives/core/alignment_core.runa|REFRESHED
build_runtime/primitives/arithmetic_core.o|compiler/frontend/primitives/core/arithmetic_core.runa|REFRESHED
build_runtime/primitives/ascii_conversion.o|compiler/frontend/primitives/types/ascii_conversion.runa|REFRESHED
build_runtime/primitives/atomic.o|compiler/frontend/primitives/assembly/atomic.runa|REFRESHED
build_runtime/primitives/atomic_core.o|compiler/frontend/primitives/core/atomic_core.runa|REFRESHED
build_runtime/primitives/barrier.o|compiler/frontend/primitives/concurrency/barrier.runa|REFRESHED
build_runtime/primitives/bitwise_core.o|compiler/frontend/primitives/core/bitwise_core.runa|REFRESHED
build_runtime/primitives/bounding_box.o|compiler/frontend/primitives/geo/bounding_box.runa|REFRESHED
build_runtime/primitives/builtins.o|compiler/frontend/primitives/intrinsics/builtins.runa|REFRESHED
build_runtime/primitives/bytes.o|compiler/frontend/primitives/core/bytes.runa|REFRESHED
build_runtime/primitives/chained_arena.o|runtime/core/memory/chained_arena.runa|REFRESHED
build_runtime/primitives/channel.o|compiler/frontend/primitives/concurrency/channel.runa|REFRESHED
build_runtime/primitives/char_core.o|compiler/frontend/primitives/char_core.runa|REFRESHED
build_runtime/primitives/codepoint.o|compiler/frontend/primitives/text/codepoint.runa|REFRESHED
build_runtime/primitives/codepoint_unicode_tables.o|compiler/frontend/primitives/text/codepoint_unicode_tables.runa|REFRESHED
build_runtime/primitives/complex.o|compiler/frontend/primitives/numeric/extended/complex.runa|REFRESHED
build_runtime/primitives/cond_var.o|compiler/frontend/primitives/concurrency/cond_var.runa|REFRESHED
build_runtime/primitives/config.o|compiler/frontend/primitives/config/config.runa|REFRESHED
build_runtime/primitives/console.o|runtime/io/console/console.runa|REFRESHED
build_runtime/primitives/console_primitive.o|compiler/frontend/primitives/io/console_primitive.runa|REFRESHED
build_runtime/primitives/coordinate_reference_system.o|compiler/frontend/primitives/geo/coordinate_reference_system.runa|REFRESHED
build_runtime/primitives/csv.o|compiler/frontend/primitives/format/csv.runa|REFRESHED
build_runtime/primitives/date.o|compiler/frontend/primitives/time/date.runa|REFRESHED
build_runtime/primitives/datetime.o|compiler/frontend/primitives/time/datetime.runa|REFRESHED
build_runtime/primitives/dictionary.o|compiler/frontend/primitives/collections/dictionary.runa|IDENTICAL
build_runtime/primitives/display.o|compiler/frontend/primitives/io/display.runa|REFRESHED
build_runtime/primitives/duration.o|compiler/frontend/primitives/time/duration.runa|REFRESHED
build_runtime/primitives/ellipsoid.o|compiler/frontend/primitives/geo/ellipsoid.runa|REFRESHED
build_runtime/primitives/file_io.o|compiler/frontend/primitives/io/file_io.runa|IDENTICAL
build_runtime/primitives/file_metadata.o|compiler/frontend/primitives/io/file_metadata.runa|IDENTICAL
build_runtime/primitives/file_operations.o|runtime/io/filesystem/file_operations.runa|REFRESHED
build_runtime/primitives/future_promise.o|compiler/frontend/primitives/concurrency/future_promise.runa|IDENTICAL
build_runtime/primitives/geo_coordinate.o|compiler/frontend/primitives/geo/geo_coordinate.runa|REFRESHED
build_runtime/primitives/geo_distance.o|compiler/frontend/primitives/geo/geo_distance.runa|REFRESHED
build_runtime/primitives/geohash.o|compiler/frontend/primitives/geo/geohash.runa|REFRESHED
build_runtime/primitives/geohash_grid.o|compiler/frontend/primitives/geo/geohash_grid.runa|REFRESHED
build_runtime/primitives/hashtable.o|compiler/frontend/primitives/collections/hashtable.runa|REFRESHED
build_runtime/primitives/hsl.o|compiler/frontend/primitives/color/hsl.runa|REFRESHED
build_runtime/primitives/ini.o|compiler/frontend/primitives/format/ini.runa|REFRESHED
build_runtime/primitives/instant.o|compiler/frontend/primitives/time/instant.runa|REFRESHED
build_runtime/primitives/io_core.o|compiler/frontend/primitives/io/io_core.runa|REFRESHED
build_runtime/primitives/ipv4_address.o|compiler/frontend/primitives/net/ipv4_address.runa|SKIP
build_runtime/primitives/ipv6_address.o|compiler/frontend/primitives/net/ipv6_address.runa|SKIP
build_runtime/primitives/json.o|compiler/frontend/primitives/format/json.runa|REFRESHED
build_runtime/primitives/lab.o|compiler/frontend/primitives/color/lab.runa|REFRESHED
build_runtime/primitives/latlon.o|compiler/frontend/primitives/geo/latlon.runa|REFRESHED
build_runtime/primitives/layout.o|compiler/frontend/primitives/memory/layout.runa|REFRESHED
build_runtime/primitives/linux_x86_64_atomic.o|compiler/frontend/primitives/platform/linux_x86_64/atomic.runa|REFRESHED
build_runtime/primitives/linux_x86_64_registers.o|compiler/frontend/primitives/platform/linux_x86_64/registers.runa|REFRESHED
build_runtime/primitives/linux_x86_64_syscall.o|compiler/frontend/primitives/platform/linux_x86_64/syscall.runa|REFRESHED
build_runtime/primitives/linux_x86_64_threading.o|compiler/frontend/primitives/platform/linux_x86_64/threading.runa|IDENTICAL
build_runtime/primitives/list.o|compiler/frontend/primitives/collections/list.runa|REFRESHED
build_runtime/primitives/map_projection.o|compiler/frontend/primitives/geo/map_projection.runa|REFRESHED
build_runtime/primitives/math.o|runtime/integration/system_interface/wrappers/math.runa|REFRESHED
build_runtime/primitives/matrix.o|compiler/frontend/primitives/numeric/extended/matrix.runa|REFRESHED
build_runtime/primitives/memory_core.o|compiler/frontend/primitives/core/memory_core.runa|REFRESHED
build_runtime/primitives/memory_safety.o|runtime/core/memory/memory_safety.runa|REFRESHED
build_runtime/primitives/mutex.o|compiler/frontend/primitives/concurrency/mutex.runa|REFRESHED
build_runtime/primitives/oklab.o|compiler/frontend/primitives/color/oklab.runa|REFRESHED
build_runtime/primitives/orbital_elements.o|compiler/frontend/primitives/geo/orbital_elements.runa|REFRESHED
build_runtime/primitives/owned_heap_wrappers.o|runtime/core/memory/owned_heap_wrappers.runa|REFRESHED
build_runtime/primitives/p4snap_binary_arbitrary_precision_float.o|compiler/frontend/primitives/numeric/binary/arbitrary_precision_float.runa|IDENTICAL
build_runtime/primitives/p4snap_binary_ieee754_binary128.o|compiler/frontend/primitives/numeric/binary/ieee754_binary128.runa|IDENTICAL
build_runtime/primitives/p4snap_binary_ieee754_binary256.o|compiler/frontend/primitives/numeric/binary/ieee754_binary256.runa|IDENTICAL
build_runtime/primitives/p4snap_binary_ieee754_binary32.o|compiler/frontend/primitives/numeric/binary/ieee754_binary32.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_avl_tree.o|compiler/frontend/primitives/collections/avl_tree.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_bitset.o|compiler/frontend/primitives/collections/bitset.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_bloom_filter.o|compiler/frontend/primitives/collections/bloom_filter.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_btree.o|compiler/frontend/primitives/collections/btree.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_deque.o|compiler/frontend/primitives/collections/deque.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_hashmap.o|compiler/frontend/primitives/collections/hashmap.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_linked_list.o|compiler/frontend/primitives/collections/linked_list.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_lru_cache.o|compiler/frontend/primitives/collections/lru_cache.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_persistent_map.o|compiler/frontend/primitives/collections/persistent_map.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_persistent_set.o|compiler/frontend/primitives/collections/persistent_set.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_priority_queue.o|compiler/frontend/primitives/collections/priority_queue.runa|IDENTICAL
build_runtime/primitives/p4snap_collections_ring_buffer.o|compiler/frontend/primitives/collections/ring_buffer.runa|IDENTICAL
build_runtime/primitives/p4snap_color_color_space.o|compiler/frontend/primitives/color/color_space.runa|IDENTICAL
build_runtime/primitives/p4snap_color_palette.o|compiler/frontend/primitives/color/palette.runa|IDENTICAL
build_runtime/primitives/p4snap_color_rgb.o|compiler/frontend/primitives/color/rgb.runa|IDENTICAL
build_runtime/primitives/p4snap_config_config_value.o|compiler/frontend/primitives/config/config_value.runa|IDENTICAL
build_runtime/primitives/p4snap_config_env_var.o|compiler/frontend/primitives/config/env_var.runa|IDENTICAL
build_runtime/primitives/p4snap_config_environment_variable.o|compiler/frontend/primitives/config/environment_variable.runa|IDENTICAL
build_runtime/primitives/p4snap_config_runa_config.o|compiler/frontend/primitives/config/runa_config.runa|IDENTICAL
build_runtime/primitives/p4snap_core_result.o|compiler/frontend/primitives/core/result.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_aes.o|compiler/frontend/import_system/crypto/aes.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_aes_gcm.o|compiler/frontend/import_system/crypto/aes_gcm.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_argon2id.o|compiler/frontend/import_system/crypto/argon2id.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_asn1_der.o|compiler/frontend/import_system/crypto/asn1_der.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_bigint.o|compiler/frontend/import_system/crypto/bigint.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_bigint_extra.o|compiler/frontend/import_system/crypto/bigint_extra.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_blake3.o|compiler/frontend/import_system/crypto/blake3.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_chacha20.o|compiler/frontend/import_system/crypto/chacha20.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_chacha20_poly1305.o|compiler/frontend/import_system/crypto/chacha20_poly1305.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_curve_p256.o|compiler/frontend/import_system/crypto/curve_p256.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_curve_p384.o|compiler/frontend/import_system/crypto/curve_p384.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_curve_p521.o|compiler/frontend/import_system/crypto/curve_p521.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_ecdsa.o|compiler/frontend/import_system/crypto/ecdsa.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_ed25519.o|compiler/frontend/import_system/crypto/ed25519.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_ed448.o|compiler/frontend/import_system/crypto/ed448.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_entropy.o|compiler/frontend/import_system/crypto/entropy.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_field25519.o|compiler/frontend/import_system/crypto/field25519.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_field448.o|compiler/frontend/import_system/crypto/field448.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_field_p256.o|compiler/frontend/import_system/crypto/field_p256.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_field_p384.o|compiler/frontend/import_system/crypto/field_p384.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_field_p521.o|compiler/frontend/import_system/crypto/field_p521.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_hkdf.o|compiler/frontend/import_system/crypto/hkdf.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_hmac.o|compiler/frontend/import_system/crypto/hmac.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_address.o|compiler/frontend/primitives/crypto_identity/address.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_certificate.o|compiler/frontend/primitives/crypto_identity/certificate.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_commitment.o|compiler/frontend/primitives/crypto_identity/commitment.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_crypto_algorithm.o|compiler/frontend/primitives/crypto_identity/crypto_algorithm.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_digital_signature.o|compiler/frontend/primitives/crypto_identity/digital_signature.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_hash.o|compiler/frontend/primitives/crypto_identity/hash.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_jwt.o|compiler/frontend/primitives/crypto_identity/jwt.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_key_derivation.o|compiler/frontend/primitives/crypto_identity/key_derivation.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_key_pair.o|compiler/frontend/primitives/crypto_identity/key_pair.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_keypair.o|compiler/frontend/primitives/crypto_identity/keypair.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_nonce.o|compiler/frontend/primitives/crypto_identity/nonce.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_passphrase.o|compiler/frontend/primitives/crypto_identity/passphrase.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_private_key.o|compiler/frontend/primitives/crypto_identity/private_key.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_public_key.o|compiler/frontend/primitives/crypto_identity/public_key.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_secret_share.o|compiler/frontend/primitives/crypto_identity/secret_share.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_identity_signature.o|compiler/frontend/primitives/crypto_identity/signature.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_pgp.o|compiler/frontend/import_system/crypto/pgp.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_poly1305.o|compiler/frontend/import_system/crypto/poly1305.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_rsa.o|compiler/frontend/import_system/crypto/rsa.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_secure_memory.o|compiler/frontend/import_system/crypto/secure_memory.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_sha2.o|compiler/frontend/import_system/crypto/sha2.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_sha3.o|compiler/frontend/import_system/crypto/sha3.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_x25519.o|compiler/frontend/import_system/crypto/x25519.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_x448.o|compiler/frontend/import_system/crypto/x448.runa|IDENTICAL
build_runtime/primitives/p4snap_crypto_x509.o|compiler/frontend/import_system/crypto/x509.runa|IDENTICAL
build_runtime/primitives/p4snap_darwin_arm64_registers.o|compiler/frontend/primitives/platform/darwin_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_darwin_x86_64_atomic.o|compiler/frontend/primitives/platform/darwin_x86_64/atomic.runa|IDENTICAL
build_runtime/primitives/p4snap_darwin_x86_64_registers.o|compiler/frontend/primitives/platform/darwin_x86_64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_darwin_x86_64_syscall.o|compiler/frontend/primitives/platform/darwin_x86_64/syscall.runa|IDENTICAL
build_runtime/primitives/p4snap_darwin_x86_64_threading.o|compiler/frontend/primitives/platform/darwin_x86_64/threading.runa|IDENTICAL
build_runtime/primitives/p4snap_database_connection.o|compiler/frontend/primitives/database/connection.runa|IDENTICAL
build_runtime/primitives/p4snap_database_query_builder.o|compiler/frontend/primitives/database/query_builder.runa|IDENTICAL
build_runtime/primitives/p4snap_database_result_set.o|compiler/frontend/primitives/database/result_set.runa|IDENTICAL
build_runtime/primitives/p4snap_database_transaction.o|compiler/frontend/primitives/database/transaction.runa|IDENTICAL
build_runtime/primitives/p4snap_decimal_arbitrary_precision_decimal.o|compiler/frontend/primitives/numeric/decimal/arbitrary_precision_decimal.runa|IDENTICAL
build_runtime/primitives/p4snap_decimal_decimal_bignum.o|compiler/frontend/primitives/numeric/decimal/decimal_bignum.runa|IDENTICAL
build_runtime/primitives/p4snap_decimal_ieee754_decimal128.o|compiler/frontend/primitives/numeric/decimal/ieee754_decimal128.runa|IDENTICAL
build_runtime/primitives/p4snap_decimal_ieee754_decimal32.o|compiler/frontend/primitives/numeric/decimal/ieee754_decimal32.runa|IDENTICAL
build_runtime/primitives/p4snap_decimal_ieee754_decimal64.o|compiler/frontend/primitives/numeric/decimal/ieee754_decimal64.runa|IDENTICAL
build_runtime/primitives/p4snap_fixed_int256.o|compiler/frontend/primitives/numeric/fixed/int256.runa|IDENTICAL
build_runtime/primitives/p4snap_fixed_int512.o|compiler/frontend/primitives/numeric/fixed/int512.runa|IDENTICAL
build_runtime/primitives/p4snap_freebsd_arm64_registers.o|compiler/frontend/primitives/platform/freebsd_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_freebsd_x64_atomic.o|compiler/frontend/primitives/platform/freebsd_x64/atomic.runa|IDENTICAL
build_runtime/primitives/p4snap_freebsd_x64_registers.o|compiler/frontend/primitives/platform/freebsd_x64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_freebsd_x64_syscall.o|compiler/frontend/primitives/platform/freebsd_x64/syscall.runa|IDENTICAL
build_runtime/primitives/p4snap_freebsd_x64_threading.o|compiler/frontend/primitives/platform/freebsd_x64/threading.runa|IDENTICAL
build_runtime/primitives/p4snap_identity_phone_number.o|compiler/frontend/primitives/identity/phone_number.runa|IDENTICAL
build_runtime/primitives/p4snap_integer_biginteger.o|compiler/frontend/primitives/numeric/integer/biginteger.runa|IDENTICAL
build_runtime/primitives/p4snap_integer_int_widths.o|compiler/frontend/primitives/numeric/integer/int_widths.runa|IDENTICAL
build_runtime/primitives/p4snap_io_byte_buffer.o|compiler/frontend/primitives/io/byte_buffer.runa|IDENTICAL
